screen	row	column	marker	cell_line
171006-TetON-LA-GRP94-Calnexin_20171006_171548	1	1		
171006-TetON-LA-GRP94-Calnexin_20171006_171548	2	1		
171006-TetON-LA-GRP94-Calnexin_20171006_171548	3	1		
171006-TetON-LA-GRP94-Calnexin_20171006_171548	4	1		
171006-TetON-LA-GRP94-Calnexin_20171006_171548	5	1		
171006-TetON-LA-GRP94-Calnexin_20171006_171548	6	1		
171006-TetON-LA-GRP94-Calnexin_20171006_171548	7	1		
171006-TetON-LA-GRP94-Calnexin_20171006_171548	8	1		
171006-TetON-LA-GRP94-Calnexin_20171006_171548	9	1		
171006-TetON-LA-GRP94-Calnexin_20171006_171548	10	1		
171006-TetON-LA-GRP94-Calnexin_20171006_171548	11	1		
171006-TetON-LA-GRP94-Calnexin_20171006_171548	12	1		
171006-TetON-LA-GRP94-Calnexin_20171006_171548	13	1		
171006-TetON-LA-GRP94-Calnexin_20171006_171548	14	1		
171006-TetON-LA-GRP94-Calnexin_20171006_171548	15	1		
171006-TetON-LA-GRP94-Calnexin_20171006_171548	16	1		
171006-TetON-LA-GRP94-Calnexin_20171006_171548	1	2		
171006-TetON-LA-GRP94-Calnexin_20171006_171548	2	2	GRP94	Uninduced
171006-TetON-LA-GRP94-Calnexin_20171006_171548	3	2	GRP94	Uninduced
171006-TetON-LA-GRP94-Calnexin_20171006_171548	4	2	GRP94	Uninduced
171006-TetON-LA-GRP94-Calnexin_20171006_171548	5	2		
171006-TetON-LA-GRP94-Calnexin_20171006_171548	6	2		
171006-TetON-LA-GRP94-Calnexin_20171006_171548	7	2		
171006-TetON-LA-GRP94-Calnexin_20171006_171548	8	2	GRP94	Induced
171006-TetON-LA-GRP94-Calnexin_20171006_171548	9	2	GRP94	Induced
171006-TetON-LA-GRP94-Calnexin_20171006_171548	10	2	GRP94	Induced
171006-TetON-LA-GRP94-Calnexin_20171006_171548	11	2		
171006-TetON-LA-GRP94-Calnexin_20171006_171548	12	2		
171006-TetON-LA-GRP94-Calnexin_20171006_171548	13	2		
171006-TetON-LA-GRP94-Calnexin_20171006_171548	14	2		
171006-TetON-LA-GRP94-Calnexin_20171006_171548	15	2		
171006-TetON-LA-GRP94-Calnexin_20171006_171548	16	2		
171006-TetON-LA-GRP94-Calnexin_20171006_171548	1	3		
171006-TetON-LA-GRP94-Calnexin_20171006_171548	2	3		
171006-TetON-LA-GRP94-Calnexin_20171006_171548	3	3		
171006-TetON-LA-GRP94-Calnexin_20171006_171548	4	3		
171006-TetON-LA-GRP94-Calnexin_20171006_171548	5	3		
171006-TetON-LA-GRP94-Calnexin_20171006_171548	6	3		
171006-TetON-LA-GRP94-Calnexin_20171006_171548	7	3		
171006-TetON-LA-GRP94-Calnexin_20171006_171548	8	3		
171006-TetON-LA-GRP94-Calnexin_20171006_171548	9	3		
171006-TetON-LA-GRP94-Calnexin_20171006_171548	10	3		
171006-TetON-LA-GRP94-Calnexin_20171006_171548	11	3		
171006-TetON-LA-GRP94-Calnexin_20171006_171548	12	3		
171006-TetON-LA-GRP94-Calnexin_20171006_171548	13	3		
171006-TetON-LA-GRP94-Calnexin_20171006_171548	14	3		
171006-TetON-LA-GRP94-Calnexin_20171006_171548	15	3		
171006-TetON-LA-GRP94-Calnexin_20171006_171548	16	3		
171006-TetON-LA-GRP94-Calnexin_20171006_171548	1	4		
171006-TetON-LA-GRP94-Calnexin_20171006_171548	2	4	Calnexin	Uninduced
171006-TetON-LA-GRP94-Calnexin_20171006_171548	3	4	Calnexin	Uninduced
171006-TetON-LA-GRP94-Calnexin_20171006_171548	4	4	Calnexin	Uninduced
171006-TetON-LA-GRP94-Calnexin_20171006_171548	5	4		
171006-TetON-LA-GRP94-Calnexin_20171006_171548	6	4		
171006-TetON-LA-GRP94-Calnexin_20171006_171548	7	4		
171006-TetON-LA-GRP94-Calnexin_20171006_171548	8	4	Calnexin	Induced
171006-TetON-LA-GRP94-Calnexin_20171006_171548	9	4	Calnexin	Induced
171006-TetON-LA-GRP94-Calnexin_20171006_171548	10	4	Calnexin	Induced
171006-TetON-LA-GRP94-Calnexin_20171006_171548	11	4		
171006-TetON-LA-GRP94-Calnexin_20171006_171548	12	4		
171006-TetON-LA-GRP94-Calnexin_20171006_171548	13	4		
171006-TetON-LA-GRP94-Calnexin_20171006_171548	14	4		
171006-TetON-LA-GRP94-Calnexin_20171006_171548	15	4		
171006-TetON-LA-GRP94-Calnexin_20171006_171548	16	4		
171006-TetON-LA-GRP94-Calnexin_20171006_171548	1	5		
171006-TetON-LA-GRP94-Calnexin_20171006_171548	2	5		
171006-TetON-LA-GRP94-Calnexin_20171006_171548	3	5		
171006-TetON-LA-GRP94-Calnexin_20171006_171548	4	5		
171006-TetON-LA-GRP94-Calnexin_20171006_171548	5	5		
171006-TetON-LA-GRP94-Calnexin_20171006_171548	6	5		
171006-TetON-LA-GRP94-Calnexin_20171006_171548	7	5		
171006-TetON-LA-GRP94-Calnexin_20171006_171548	8	5		
171006-TetON-LA-GRP94-Calnexin_20171006_171548	9	5		
171006-TetON-LA-GRP94-Calnexin_20171006_171548	10	5		
171006-TetON-LA-GRP94-Calnexin_20171006_171548	11	5		
171006-TetON-LA-GRP94-Calnexin_20171006_171548	12	5		
171006-TetON-LA-GRP94-Calnexin_20171006_171548	13	5		
171006-TetON-LA-GRP94-Calnexin_20171006_171548	14	5		
171006-TetON-LA-GRP94-Calnexin_20171006_171548	15	5		
171006-TetON-LA-GRP94-Calnexin_20171006_171548	16	5		
171006-TetON-LA-GRP94-Calnexin_20171006_171548	1	6		
171006-TetON-LA-GRP94-Calnexin_20171006_171548	2	6		
171006-TetON-LA-GRP94-Calnexin_20171006_171548	3	6		
171006-TetON-LA-GRP94-Calnexin_20171006_171548	4	6		
171006-TetON-LA-GRP94-Calnexin_20171006_171548	5	6		
171006-TetON-LA-GRP94-Calnexin_20171006_171548	6	6		
171006-TetON-LA-GRP94-Calnexin_20171006_171548	7	6		
171006-TetON-LA-GRP94-Calnexin_20171006_171548	8	6		
171006-TetON-LA-GRP94-Calnexin_20171006_171548	9	6		
171006-TetON-LA-GRP94-Calnexin_20171006_171548	10	6		
171006-TetON-LA-GRP94-Calnexin_20171006_171548	11	6		
171006-TetON-LA-GRP94-Calnexin_20171006_171548	12	6		
171006-TetON-LA-GRP94-Calnexin_20171006_171548	13	6		
171006-TetON-LA-GRP94-Calnexin_20171006_171548	14	6		
171006-TetON-LA-GRP94-Calnexin_20171006_171548	15	6		
171006-TetON-LA-GRP94-Calnexin_20171006_171548	16	6		
171006-TetON-LA-GRP94-Calnexin_20171006_171548	1	7		
171006-TetON-LA-GRP94-Calnexin_20171006_171548	2	7		
171006-TetON-LA-GRP94-Calnexin_20171006_171548	3	7		
171006-TetON-LA-GRP94-Calnexin_20171006_171548	4	7		
171006-TetON-LA-GRP94-Calnexin_20171006_171548	5	7		
171006-TetON-LA-GRP94-Calnexin_20171006_171548	6	7		
171006-TetON-LA-GRP94-Calnexin_20171006_171548	7	7		
171006-TetON-LA-GRP94-Calnexin_20171006_171548	8	7		
171006-TetON-LA-GRP94-Calnexin_20171006_171548	9	7		
171006-TetON-LA-GRP94-Calnexin_20171006_171548	10	7		
171006-TetON-LA-GRP94-Calnexin_20171006_171548	11	7		
171006-TetON-LA-GRP94-Calnexin_20171006_171548	12	7		
171006-TetON-LA-GRP94-Calnexin_20171006_171548	13	7		
171006-TetON-LA-GRP94-Calnexin_20171006_171548	14	7		
171006-TetON-LA-GRP94-Calnexin_20171006_171548	15	7		
171006-TetON-LA-GRP94-Calnexin_20171006_171548	16	7		
171006-TetON-LA-GRP94-Calnexin_20171006_171548	1	8		
171006-TetON-LA-GRP94-Calnexin_20171006_171548	2	8		
171006-TetON-LA-GRP94-Calnexin_20171006_171548	3	8		
171006-TetON-LA-GRP94-Calnexin_20171006_171548	4	8		
