screen	row	column	marker	cell_line
180124-40x-TetON-d50C661S-1868-GRP78-PDI-VCP-SUN1_20180124_114654	1	1		
180124-40x-TetON-d50C661S-1868-GRP78-PDI-VCP-SUN1_20180124_114654	2	1		
180124-40x-TetON-d50C661S-1868-GRP78-PDI-VCP-SUN1_20180124_114654	3	1		
180124-40x-TetON-d50C661S-1868-GRP78-PDI-VCP-SUN1_20180124_114654	4	1		
180124-40x-TetON-d50C661S-1868-GRP78-PDI-VCP-SUN1_20180124_114654	5	1		
180124-40x-TetON-d50C661S-1868-GRP78-PDI-VCP-SUN1_20180124_114654	6	1		
180124-40x-TetON-d50C661S-1868-GRP78-PDI-VCP-SUN1_20180124_114654	7	1		
180124-40x-TetON-d50C661S-1868-GRP78-PDI-VCP-SUN1_20180124_114654	8	1		
180124-40x-TetON-d50C661S-1868-GRP78-PDI-VCP-SUN1_20180124_114654	9	1		
180124-40x-TetON-d50C661S-1868-GRP78-PDI-VCP-SUN1_20180124_114654	10	1		
180124-40x-TetON-d50C661S-1868-GRP78-PDI-VCP-SUN1_20180124_114654	11	1		
180124-40x-TetON-d50C661S-1868-GRP78-PDI-VCP-SUN1_20180124_114654	12	1		
180124-40x-TetON-d50C661S-1868-GRP78-PDI-VCP-SUN1_20180124_114654	13	1		
180124-40x-TetON-d50C661S-1868-GRP78-PDI-VCP-SUN1_20180124_114654	14	1		
180124-40x-TetON-d50C661S-1868-GRP78-PDI-VCP-SUN1_20180124_114654	15	1		
180124-40x-TetON-d50C661S-1868-GRP78-PDI-VCP-SUN1_20180124_114654	16	1		
180124-40x-TetON-d50C661S-1868-GRP78-PDI-VCP-SUN1_20180124_114654	1	2		
180124-40x-TetON-d50C661S-1868-GRP78-PDI-VCP-SUN1_20180124_114654	2	2		
180124-40x-TetON-d50C661S-1868-GRP78-PDI-VCP-SUN1_20180124_114654	3	2		
180124-40x-TetON-d50C661S-1868-GRP78-PDI-VCP-SUN1_20180124_114654	4	2		
180124-40x-TetON-d50C661S-1868-GRP78-PDI-VCP-SUN1_20180124_114654	5	2		
180124-40x-TetON-d50C661S-1868-GRP78-PDI-VCP-SUN1_20180124_114654	6	2		
180124-40x-TetON-d50C661S-1868-GRP78-PDI-VCP-SUN1_20180124_114654	7	2		
180124-40x-TetON-d50C661S-1868-GRP78-PDI-VCP-SUN1_20180124_114654	8	2		
180124-40x-TetON-d50C661S-1868-GRP78-PDI-VCP-SUN1_20180124_114654	9	2		
180124-40x-TetON-d50C661S-1868-GRP78-PDI-VCP-SUN1_20180124_114654	10	2		
180124-40x-TetON-d50C661S-1868-GRP78-PDI-VCP-SUN1_20180124_114654	11	2		
180124-40x-TetON-d50C661S-1868-GRP78-PDI-VCP-SUN1_20180124_114654	12	2		
180124-40x-TetON-d50C661S-1868-GRP78-PDI-VCP-SUN1_20180124_114654	13	2		
180124-40x-TetON-d50C661S-1868-GRP78-PDI-VCP-SUN1_20180124_114654	14	2		
180124-40x-TetON-d50C661S-1868-GRP78-PDI-VCP-SUN1_20180124_114654	15	2		
180124-40x-TetON-d50C661S-1868-GRP78-PDI-VCP-SUN1_20180124_114654	16	2		
180124-40x-TetON-d50C661S-1868-GRP78-PDI-VCP-SUN1_20180124_114654	1	3		
180124-40x-TetON-d50C661S-1868-GRP78-PDI-VCP-SUN1_20180124_114654	2	3	GRP78	Uninduced
180124-40x-TetON-d50C661S-1868-GRP78-PDI-VCP-SUN1_20180124_114654	3	3	GRP78	Uninduced
180124-40x-TetON-d50C661S-1868-GRP78-PDI-VCP-SUN1_20180124_114654	4	3	GRP78	Uninduced
180124-40x-TetON-d50C661S-1868-GRP78-PDI-VCP-SUN1_20180124_114654	5	3		
180124-40x-TetON-d50C661S-1868-GRP78-PDI-VCP-SUN1_20180124_114654	6	3		
180124-40x-TetON-d50C661S-1868-GRP78-PDI-VCP-SUN1_20180124_114654	7	3		
180124-40x-TetON-d50C661S-1868-GRP78-PDI-VCP-SUN1_20180124_114654	8	3	GRP78	Induced
180124-40x-TetON-d50C661S-1868-GRP78-PDI-VCP-SUN1_20180124_114654	9	3	GRP78	Induced
180124-40x-TetON-d50C661S-1868-GRP78-PDI-VCP-SUN1_20180124_114654	10	3	GRP78	Induced
180124-40x-TetON-d50C661S-1868-GRP78-PDI-VCP-SUN1_20180124_114654	11	3		
180124-40x-TetON-d50C661S-1868-GRP78-PDI-VCP-SUN1_20180124_114654	12	3		
180124-40x-TetON-d50C661S-1868-GRP78-PDI-VCP-SUN1_20180124_114654	13	3		
180124-40x-TetON-d50C661S-1868-GRP78-PDI-VCP-SUN1_20180124_114654	14	3		
180124-40x-TetON-d50C661S-1868-GRP78-PDI-VCP-SUN1_20180124_114654	15	3		
180124-40x-TetON-d50C661S-1868-GRP78-PDI-VCP-SUN1_20180124_114654	16	3		
180124-40x-TetON-d50C661S-1868-GRP78-PDI-VCP-SUN1_20180124_114654	1	4		
180124-40x-TetON-d50C661S-1868-GRP78-PDI-VCP-SUN1_20180124_114654	2	4		
180124-40x-TetON-d50C661S-1868-GRP78-PDI-VCP-SUN1_20180124_114654	3	4		
180124-40x-TetON-d50C661S-1868-GRP78-PDI-VCP-SUN1_20180124_114654	4	4		
180124-40x-TetON-d50C661S-1868-GRP78-PDI-VCP-SUN1_20180124_114654	5	4		
180124-40x-TetON-d50C661S-1868-GRP78-PDI-VCP-SUN1_20180124_114654	6	4		
180124-40x-TetON-d50C661S-1868-GRP78-PDI-VCP-SUN1_20180124_114654	7	4		
180124-40x-TetON-d50C661S-1868-GRP78-PDI-VCP-SUN1_20180124_114654	8	4		
180124-40x-TetON-d50C661S-1868-GRP78-PDI-VCP-SUN1_20180124_114654	9	4		
180124-40x-TetON-d50C661S-1868-GRP78-PDI-VCP-SUN1_20180124_114654	10	4		
180124-40x-TetON-d50C661S-1868-GRP78-PDI-VCP-SUN1_20180124_114654	11	4		
180124-40x-TetON-d50C661S-1868-GRP78-PDI-VCP-SUN1_20180124_114654	12	4		
180124-40x-TetON-d50C661S-1868-GRP78-PDI-VCP-SUN1_20180124_114654	13	4		
180124-40x-TetON-d50C661S-1868-GRP78-PDI-VCP-SUN1_20180124_114654	14	4		
180124-40x-TetON-d50C661S-1868-GRP78-PDI-VCP-SUN1_20180124_114654	15	4		
180124-40x-TetON-d50C661S-1868-GRP78-PDI-VCP-SUN1_20180124_114654	16	4		
180124-40x-TetON-d50C661S-1868-GRP78-PDI-VCP-SUN1_20180124_114654	1	5		
180124-40x-TetON-d50C661S-1868-GRP78-PDI-VCP-SUN1_20180124_114654	2	5	PDI	Uninduced
180124-40x-TetON-d50C661S-1868-GRP78-PDI-VCP-SUN1_20180124_114654	3	5	PDI	Uninduced
180124-40x-TetON-d50C661S-1868-GRP78-PDI-VCP-SUN1_20180124_114654	4	5	PDI	Uninduced
180124-40x-TetON-d50C661S-1868-GRP78-PDI-VCP-SUN1_20180124_114654	5	5		
180124-40x-TetON-d50C661S-1868-GRP78-PDI-VCP-SUN1_20180124_114654	6	5		
