screen	row	column	marker	cell_line
191126-60x-TetON-siRNA-GRP78-PDI-plate1_20191126_122500	1	1		
191126-60x-TetON-siRNA-GRP78-PDI-plate1_20191126_122500	2	1		
191126-60x-TetON-siRNA-GRP78-PDI-plate1_20191126_122500	3	1		
191126-60x-TetON-siRNA-GRP78-PDI-plate1_20191126_122500	4	1		
191126-60x-TetON-siRNA-GRP78-PDI-plate1_20191126_122500	5	1		
191126-60x-TetON-siRNA-GRP78-PDI-plate1_20191126_122500	6	1		
191126-60x-TetON-siRNA-GRP78-PDI-plate1_20191126_122500	7	1		
191126-60x-TetON-siRNA-GRP78-PDI-plate1_20191126_122500	8	1		
191126-60x-TetON-siRNA-GRP78-PDI-plate1_20191126_122500	9	1		
191126-60x-TetON-siRNA-GRP78-PDI-plate1_20191126_122500	10	1		
191126-60x-TetON-siRNA-GRP78-PDI-plate1_20191126_122500	11	1		
191126-60x-TetON-siRNA-GRP78-PDI-plate1_20191126_122500	12	1		
191126-60x-TetON-siRNA-GRP78-PDI-plate1_20191126_122500	13	1		
191126-60x-TetON-siRNA-GRP78-PDI-plate1_20191126_122500	14	1		
191126-60x-TetON-siRNA-GRP78-PDI-plate1_20191126_122500	15	1		
191126-60x-TetON-siRNA-GRP78-PDI-plate1_20191126_122500	16	1		
191126-60x-TetON-siRNA-GRP78-PDI-plate1_20191126_122500	1	2		
191126-60x-TetON-siRNA-GRP78-PDI-plate1_20191126_122500	2	2		
191126-60x-TetON-siRNA-GRP78-PDI-plate1_20191126_122500	3	2		
191126-60x-TetON-siRNA-GRP78-PDI-plate1_20191126_122500	4	2		
191126-60x-TetON-siRNA-GRP78-PDI-plate1_20191126_122500	5	2		
191126-60x-TetON-siRNA-GRP78-PDI-plate1_20191126_122500	6	2		
191126-60x-TetON-siRNA-GRP78-PDI-plate1_20191126_122500	7	2		
191126-60x-TetON-siRNA-GRP78-PDI-plate1_20191126_122500	8	2		
191126-60x-TetON-siRNA-GRP78-PDI-plate1_20191126_122500	9	2		
191126-60x-TetON-siRNA-GRP78-PDI-plate1_20191126_122500	10	2		
191126-60x-TetON-siRNA-GRP78-PDI-plate1_20191126_122500	11	2		
191126-60x-TetON-siRNA-GRP78-PDI-plate1_20191126_122500	12	2		
191126-60x-TetON-siRNA-GRP78-PDI-plate1_20191126_122500	13	2		
191126-60x-TetON-siRNA-GRP78-PDI-plate1_20191126_122500	14	2		
191126-60x-TetON-siRNA-GRP78-PDI-plate1_20191126_122500	15	2		
191126-60x-TetON-siRNA-GRP78-PDI-plate1_20191126_122500	16	2		
191126-60x-TetON-siRNA-GRP78-PDI-plate1_20191126_122500	1	3		
191126-60x-TetON-siRNA-GRP78-PDI-plate1_20191126_122500	2	3	GRP78	Uninduced_siCTRL
191126-60x-TetON-siRNA-GRP78-PDI-plate1_20191126_122500	3	3	GRP78	Uninduced_siCTRL
191126-60x-TetON-siRNA-GRP78-PDI-plate1_20191126_122500	4	3	GRP78	Uninduced_siCTRL
191126-60x-TetON-siRNA-GRP78-PDI-plate1_20191126_122500	5	3		
191126-60x-TetON-siRNA-GRP78-PDI-plate1_20191126_122500	6	3		
191126-60x-TetON-siRNA-GRP78-PDI-plate1_20191126_122500	7	3		
191126-60x-TetON-siRNA-GRP78-PDI-plate1_20191126_122500	8	3	GRP78	Induced_siCTRL
191126-60x-TetON-siRNA-GRP78-PDI-plate1_20191126_122500	9	3	GRP78	Induced_siCTRL
191126-60x-TetON-siRNA-GRP78-PDI-plate1_20191126_122500	10	3	GRP78	Induced_siCTRL
191126-60x-TetON-siRNA-GRP78-PDI-plate1_20191126_122500	11	3		
191126-60x-TetON-siRNA-GRP78-PDI-plate1_20191126_122500	12	3		
191126-60x-TetON-siRNA-GRP78-PDI-plate1_20191126_122500	13	3		
191126-60x-TetON-siRNA-GRP78-PDI-plate1_20191126_122500	14	3		
191126-60x-TetON-siRNA-GRP78-PDI-plate1_20191126_122500	15	3		
191126-60x-TetON-siRNA-GRP78-PDI-plate1_20191126_122500	16	3		
191126-60x-TetON-siRNA-GRP78-PDI-plate1_20191126_122500	1	4		
191126-60x-TetON-siRNA-GRP78-PDI-plate1_20191126_122500	2	4		
191126-60x-TetON-siRNA-GRP78-PDI-plate1_20191126_122500	3	4		
191126-60x-TetON-siRNA-GRP78-PDI-plate1_20191126_122500	4	4		
191126-60x-TetON-siRNA-GRP78-PDI-plate1_20191126_122500	5	4		
191126-60x-TetON-siRNA-GRP78-PDI-plate1_20191126_122500	6	4		
191126-60x-TetON-siRNA-GRP78-PDI-plate1_20191126_122500	7	4		
191126-60x-TetON-siRNA-GRP78-PDI-plate1_20191126_122500	8	4		
191126-60x-TetON-siRNA-GRP78-PDI-plate1_20191126_122500	9	4		
191126-60x-TetON-siRNA-GRP78-PDI-plate1_20191126_122500	10	4		
191126-60x-TetON-siRNA-GRP78-PDI-plate1_20191126_122500	11	4		
191126-60x-TetON-siRNA-GRP78-PDI-plate1_20191126_122500	12	4		
191126-60x-TetON-siRNA-GRP78-PDI-plate1_20191126_122500	13	4		
191126-60x-TetON-siRNA-GRP78-PDI-plate1_20191126_122500	14	4		
191126-60x-TetON-siRNA-GRP78-PDI-plate1_20191126_122500	15	4		
191126-60x-TetON-siRNA-GRP78-PDI-plate1_20191126_122500	16	4		
191126-60x-TetON-siRNA-GRP78-PDI-plate1_20191126_122500	1	5		
191126-60x-TetON-siRNA-GRP78-PDI-plate1_20191126_122500	2	5		
191126-60x-TetON-siRNA-GRP78-PDI-plate1_20191126_122500	3	5		
191126-60x-TetON-siRNA-GRP78-PDI-plate1_20191126_122500	4	5		
191126-60x-TetON-siRNA-GRP78-PDI-plate1_20191126_122500	5	5		
191126-60x-TetON-siRNA-GRP78-PDI-plate1_20191126_122500	6	5		
191126-60x-TetON-siRNA-GRP78-PDI-plate1_20191126_122500	7	5		
191126-60x-TetON-siRNA-GRP78-PDI-plate1_20191126_122500	8	5		
191126-60x-TetON-siRNA-GRP78-PDI-plate1_20191126_122500	9	5		
191126-60x-TetON-siRNA-GRP78-PDI-plate1_20191126_122500	10	5		
191126-60x-TetON-siRNA-GRP78-PDI-plate1_20191126_122500	11	5		
191126-60x-TetON-siRNA-GRP78-PDI-plate1_20191126_122500	12	5		
191126-60x-TetON-siRNA-GRP78-PDI-plate1_20191126_122500	13	5		
191126-60x-TetON-siRNA-GRP78-PDI-plate1_20191126_122500	14	5		
191126-60x-TetON-siRNA-GRP78-PDI-plate1_20191126_122500	15	5		
191126-60x-TetON-siRNA-GRP78-PDI-plate1_20191126_122500	16	5		
191126-60x-TetON-siRNA-GRP78-PDI-plate1_20191126_122500	1	6		
191126-60x-TetON-siRNA-GRP78-PDI-plate1_20191126_122500	2	6		
191126-60x-TetON-siRNA-GRP78-PDI-plate1_20191126_122500	3	6		
191126-60x-TetON-siRNA-GRP78-PDI-plate1_20191126_122500	4	6		
191126-60x-TetON-siRNA-GRP78-PDI-plate1_20191126_122500	5	6		
191126-60x-TetON-siRNA-GRP78-PDI-plate1_20191126_122500	6	6		
191126-60x-TetON-siRNA-GRP78-PDI-plate1_20191126_122500	7	6		
191126-60x-TetON-siRNA-GRP78-PDI-plate1_20191126_122500	8	6		
191126-60x-TetON-siRNA-GRP78-PDI-plate1_20191126_122500	9	6		
191126-60x-TetON-siRNA-GRP78-PDI-plate1_20191126_122500	10	6		
191126-60x-TetON-siRNA-GRP78-PDI-plate1_20191126_122500	11	6		
191126-60x-TetON-siRNA-GRP78-PDI-plate1_20191126_122500	12	6		
191126-60x-TetON-siRNA-GRP78-PDI-plate1_20191126_122500	13	6		
191126-60x-TetON-siRNA-GRP78-PDI-plate1_20191126_122500	14	6		
191126-60x-TetON-siRNA-GRP78-PDI-plate1_20191126_122500	15	6		
191126-60x-TetON-siRNA-GRP78-PDI-plate1_20191126_122500	16	6		
191126-60x-TetON-siRNA-GRP78-PDI-plate1_20191126_122500	1	7		
191126-60x-TetON-siRNA-GRP78-PDI-plate1_20191126_122500	2	7		
191126-60x-TetON-siRNA-GRP78-PDI-plate1_20191126_122500	3	7		
191126-60x-TetON-siRNA-GRP78-PDI-plate1_20191126_122500	4	7		
191126-60x-TetON-siRNA-GRP78-PDI-plate1_20191126_122500	5	7		
191126-60x-TetON-siRNA-GRP78-PDI-plate1_20191126_122500	6	7		
191126-60x-TetON-siRNA-GRP78-PDI-plate1_20191126_122500	7	7		
191126-60x-TetON-siRNA-GRP78-PDI-plate1_20191126_122500	8	7		
191126-60x-TetON-siRNA-GRP78-PDI-plate1_20191126_122500	9	7		
191126-60x-TetON-siRNA-GRP78-PDI-plate1_20191126_122500	10	7		
191126-60x-TetON-siRNA-GRP78-PDI-plate1_20191126_122500	11	7		
191126-60x-TetON-siRNA-GRP78-PDI-plate1_20191126_122500	12	7		
191126-60x-TetON-siRNA-GRP78-PDI-plate1_20191126_122500	13	7		
191126-60x-TetON-siRNA-GRP78-PDI-plate1_20191126_122500	14	7		
191126-60x-TetON-siRNA-GRP78-PDI-plate1_20191126_122500	15	7		
191126-60x-TetON-siRNA-GRP78-PDI-plate1_20191126_122500	16	7		
