row	column	marker	cell_line
1	1		
2	1		
3	1		
4	1		
5	1		
6	1		
7	1		
8	1		
9	1		
10	1		
11	1		
12	1		
13	1		
14	1		
15	1		
16	1		
1	2		
2	2	GRP94	WT1 _GM00038
3	2	GRP94	WT1 _GM00038
4	2	GRP94	WT1 _GM00038
5	2	GRP78	WT1 _GM00038
6	2	GRP78	WT1 _GM00038
7	2	GRP78	WT1 _GM00038
8	2	PDI	WT1 _GM00038
9	2	PDI	WT1 _GM00038
10	2	PDI	WT1 _GM00038
11	2		
12	2		
13	2		
14	2		
15	2		
16	2		
1	3		
2	3		
3	3		
4	3		
5	3		
6	3		
7	3		
8	3		
9	3		
10	3		
11	3		
12	3		
13	3		
14	3		
15	3		
16	3		
1	4		
2	4	GRP94	WT2 _AG08470
3	4	GRP94	WT2 _AG08470
4	4	GRP94	WT2 _AG08470
5	4	GRP78	WT2 _AG08470
6	4	GRP78	WT2 _AG08470
7	4	GRP78	WT2 _AG08470
8	4	PDI	WT2 _AG08470
9	4	PDI	WT2 _AG08470
10	4	PDI	WT2 _AG08470
11	4		
12	4		
13	4		
14	4		
15	4		
16	4		
1	5		
2	5		
3	5		
4	5		
5	5		
6	5		
7	5		
8	5		
9	5		
10	5		
11	5		
12	5		
13	5		
14	5		
15	5		
16	5		
1	6		
2	6	GRP94	WT3_HGMDFN090
3	6	GRP94	WT3_HGMDFN090
4	6	GRP94	WT3_HGMDFN090
5	6	GRP78	WT3_HGMDFN090
6	6	GRP78	WT3_HGMDFN090
7	6	GRP78	WT3_HGMDFN090
8	6	PDI	WT3_HGMDFN090
9	6	PDI	WT3_HGMDFN090
10	6	PDI	WT3_HGMDFN090
11	6		
12	6		
13	6		
14	6		
15	6		
16	6		
1	7		
2	7		
3	7		
4	7		
5	7		
6	7		
7	7		
8	7		
9	7		
10	7		
11	7		
12	7		
13	7		
14	7		
15	7		
16	7		
1	8		
2	8	GRP94	WT4_HGFDFN168
3	8	GRP94	WT4_HGFDFN168
4	8	GRP94	WT4_HGFDFN168
5	8	GRP78	WT4_HGFDFN168
6	8	GRP78	WT4_HGFDFN168
7	8	GRP78	WT4_HGFDFN168
8	8	PDI	WT4_HGFDFN168
9	8	PDI	WT4_HGFDFN168
10	8	PDI	WT4_HGFDFN168
11	8		
12	8		
13	8		
14	8		
15	8		
16	8		
1	9		
2	9		
3	9		
4	9		
5	9		
6	9		
7	9		
8	9		
9	9		
10	9		
11	9		
12	9		
13	9		
14	9		
15	9		
16	9		
1	10		
2	10	GRP94	HGPS1_AG08466
3	10	GRP94	HGPS1_AG08466
4	10	GRP94	HGPS1_AG08466
5	10	GRP78	HGPS1_AG08466
6	10	GRP78	HGPS1_AG08466
7	10	GRP78	HGPS1_AG08466
8	10	PDI	HGPS1_AG08466
9	10	PDI	HGPS1_AG08466
10	10	PDI	HGPS1_AG08466
11	10		
12	10		
13	10		
14	10		
15	10		
16	10		
1	11		
2	11		
3	11		
4	11		
5	11		
6	11		
7	11		
8	11		
9	11		
10	11		
11	11		
12	11		
13	11		
14	11		
15	11		
16	11		
1	12		
2	12	GRP94	HGPS2_HGADFN127
3	12	GRP94	HGPS2_HGADFN127
4	12	GRP94	HGPS2_HGADFN127
5	12	GRP78	HGPS2_HGADFN127
6	12	GRP78	HGPS2_HGADFN127
7	12	GRP78	HGPS2_HGADFN127
8	12	PDI	HGPS2_HGADFN127
9	12	PDI	HGPS2_HGADFN127
10	12	PDI	HGPS2_HGADFN127
11	12		
12	12		
13	12		
14	12		
15	12		
16	12		
1	13		
2	13		
3	13		
4	13		
5	13		
6	13		
7	13		
8	13		
9	13		
10	13		
11	13		
12	13		
13	13		
14	13		
15	13		
16	13		
1	14		
2	14	GRP94	HGPS3_GM01972D
3	14	GRP94	HGPS3_GM01972D
4	14	GRP94	HGPS3_GM01972D
5	14	GRP78	HGPS3_GM01972D
6	14	GRP78	HGPS3_GM01972D
7	14	GRP78	HGPS3_GM01972D
8	14	PDI	HGPS3_GM01972D
9	14	PDI	HGPS3_GM01972D
10	14	PDI	HGPS3_GM01972D
11	14		
12	14		
13	14		
14	14		
15	14		
16	14		
1	15		
2	15		
3	15		
4	15		
5	15		
6	15		
7	15		
8	15		
9	15		
10	15		
11	15		
12	15		
13	15		
14	15		
15	15		
16	15		
1	16		
2	16	GRP94	HGPS4_HGADFN167
3	16	GRP94	HGPS4_HGADFN167
4	16	GRP94	HGPS4_HGADFN167
5	16	GRP78	HGPS4_HGADFN167
6	16	GRP78	HGPS4_HGADFN167
7	16	GRP78	HGPS4_HGADFN167
8	16	PDI	HGPS4_HGADFN167
9	16	PDI	HGPS4_HGADFN167
10	16	PDI	HGPS4_HGADFN167
11	16		
12	16		
13	16		
14	16		
15	16		
16	16		
1	17		
2	17		
3	17		
4	17		
