marker,comparison,diff,lwr.ci,upr.ci,pval
Calnexin,Induced-Uninduced,-0.053362322339603585,-0.8791297595609744,0.7724051148817672,0.8663313641344912
GRP94,Induced-Uninduced,-0.15735430905552272,-0.47669122477077597,0.16198260665973052,0.24309544495273794
