screen	row	column	marker	cell_line
200707-40x-hTERTfibro-Hsp90-Hsp110-SUN1_20200707_115858	1	1		
200707-40x-hTERTfibro-Hsp90-Hsp110-SUN1_20200707_115858	2	1		
200707-40x-hTERTfibro-Hsp90-Hsp110-SUN1_20200707_115858	3	1		
200707-40x-hTERTfibro-Hsp90-Hsp110-SUN1_20200707_115858	4	1		
200707-40x-hTERTfibro-Hsp90-Hsp110-SUN1_20200707_115858	5	1		
200707-40x-hTERTfibro-Hsp90-Hsp110-SUN1_20200707_115858	6	1		
200707-40x-hTERTfibro-Hsp90-Hsp110-SUN1_20200707_115858	7	1		
200707-40x-hTERTfibro-Hsp90-Hsp110-SUN1_20200707_115858	8	1		
200707-40x-hTERTfibro-Hsp90-Hsp110-SUN1_20200707_115858	9	1		
200707-40x-hTERTfibro-Hsp90-Hsp110-SUN1_20200707_115858	10	1		
200707-40x-hTERTfibro-Hsp90-Hsp110-SUN1_20200707_115858	11	1		
200707-40x-hTERTfibro-Hsp90-Hsp110-SUN1_20200707_115858	12	1		
200707-40x-hTERTfibro-Hsp90-Hsp110-SUN1_20200707_115858	13	1		
200707-40x-hTERTfibro-Hsp90-Hsp110-SUN1_20200707_115858	14	1		
200707-40x-hTERTfibro-Hsp90-Hsp110-SUN1_20200707_115858	15	1		
200707-40x-hTERTfibro-Hsp90-Hsp110-SUN1_20200707_115858	16	1		
200707-40x-hTERTfibro-Hsp90-Hsp110-SUN1_20200707_115858	1	2		
200707-40x-hTERTfibro-Hsp90-Hsp110-SUN1_20200707_115858	2	2		
200707-40x-hTERTfibro-Hsp90-Hsp110-SUN1_20200707_115858	3	2		
200707-40x-hTERTfibro-Hsp90-Hsp110-SUN1_20200707_115858	4	2		
200707-40x-hTERTfibro-Hsp90-Hsp110-SUN1_20200707_115858	5	2		
200707-40x-hTERTfibro-Hsp90-Hsp110-SUN1_20200707_115858	6	2		
200707-40x-hTERTfibro-Hsp90-Hsp110-SUN1_20200707_115858	7	2		
200707-40x-hTERTfibro-Hsp90-Hsp110-SUN1_20200707_115858	8	2		
200707-40x-hTERTfibro-Hsp90-Hsp110-SUN1_20200707_115858	9	2		
200707-40x-hTERTfibro-Hsp90-Hsp110-SUN1_20200707_115858	10	2		
200707-40x-hTERTfibro-Hsp90-Hsp110-SUN1_20200707_115858	11	2		
200707-40x-hTERTfibro-Hsp90-Hsp110-SUN1_20200707_115858	12	2		
200707-40x-hTERTfibro-Hsp90-Hsp110-SUN1_20200707_115858	13	2		
200707-40x-hTERTfibro-Hsp90-Hsp110-SUN1_20200707_115858	14	2		
200707-40x-hTERTfibro-Hsp90-Hsp110-SUN1_20200707_115858	15	2		
200707-40x-hTERTfibro-Hsp90-Hsp110-SUN1_20200707_115858	16	2		
200707-40x-hTERTfibro-Hsp90-Hsp110-SUN1_20200707_115858	1	3		
200707-40x-hTERTfibro-Hsp90-Hsp110-SUN1_20200707_115858	2	3		
200707-40x-hTERTfibro-Hsp90-Hsp110-SUN1_20200707_115858	3	3		
200707-40x-hTERTfibro-Hsp90-Hsp110-SUN1_20200707_115858	4	3		
200707-40x-hTERTfibro-Hsp90-Hsp110-SUN1_20200707_115858	5	3		
200707-40x-hTERTfibro-Hsp90-Hsp110-SUN1_20200707_115858	6	3		
200707-40x-hTERTfibro-Hsp90-Hsp110-SUN1_20200707_115858	7	3		
200707-40x-hTERTfibro-Hsp90-Hsp110-SUN1_20200707_115858	8	3		
200707-40x-hTERTfibro-Hsp90-Hsp110-SUN1_20200707_115858	9	3		
200707-40x-hTERTfibro-Hsp90-Hsp110-SUN1_20200707_115858	10	3		
200707-40x-hTERTfibro-Hsp90-Hsp110-SUN1_20200707_115858	11	3	Hsp110	WT
200707-40x-hTERTfibro-Hsp90-Hsp110-SUN1_20200707_115858	12	3	Hsp110	WT
200707-40x-hTERTfibro-Hsp90-Hsp110-SUN1_20200707_115858	13	3	Hsp110	WT
200707-40x-hTERTfibro-Hsp90-Hsp110-SUN1_20200707_115858	14	3		
200707-40x-hTERTfibro-Hsp90-Hsp110-SUN1_20200707_115858	15	3		
200707-40x-hTERTfibro-Hsp90-Hsp110-SUN1_20200707_115858	16	3		
200707-40x-hTERTfibro-Hsp90-Hsp110-SUN1_20200707_115858	1	4		
200707-40x-hTERTfibro-Hsp90-Hsp110-SUN1_20200707_115858	2	4		
200707-40x-hTERTfibro-Hsp90-Hsp110-SUN1_20200707_115858	3	4		
