screen	row	column	marker	cell_line
221013-40x-TetON-GFPd50-Hsp110-Hsp90-GRP94-GRP78-Calnexin-SUN1-SUN2_20221013_123454	1	1		
221013-40x-TetON-GFPd50-Hsp110-Hsp90-GRP94-GRP78-Calnexin-SUN1-SUN2_20221013_123454	2	1		
221013-40x-TetON-GFPd50-Hsp110-Hsp90-GRP94-GRP78-Calnexin-SUN1-SUN2_20221013_123454	3	1		
221013-40x-TetON-GFPd50-Hsp110-Hsp90-GRP94-GRP78-Calnexin-SUN1-SUN2_20221013_123454	4	1		
221013-40x-TetON-GFPd50-Hsp110-Hsp90-GRP94-GRP78-Calnexin-SUN1-SUN2_20221013_123454	5	1		
221013-40x-TetON-GFPd50-Hsp110-Hsp90-GRP94-GRP78-Calnexin-SUN1-SUN2_20221013_123454	6	1		
221013-40x-TetON-GFPd50-Hsp110-Hsp90-GRP94-GRP78-Calnexin-SUN1-SUN2_20221013_123454	7	1		
221013-40x-TetON-GFPd50-Hsp110-Hsp90-GRP94-GRP78-Calnexin-SUN1-SUN2_20221013_123454	8	1		
221013-40x-TetON-GFPd50-Hsp110-Hsp90-GRP94-GRP78-Calnexin-SUN1-SUN2_20221013_123454	9	1		
221013-40x-TetON-GFPd50-Hsp110-Hsp90-GRP94-GRP78-Calnexin-SUN1-SUN2_20221013_123454	10	1		
221013-40x-TetON-GFPd50-Hsp110-Hsp90-GRP94-GRP78-Calnexin-SUN1-SUN2_20221013_123454	11	1		
221013-40x-TetON-GFPd50-Hsp110-Hsp90-GRP94-GRP78-Calnexin-SUN1-SUN2_20221013_123454	12	1		
221013-40x-TetON-GFPd50-Hsp110-Hsp90-GRP94-GRP78-Calnexin-SUN1-SUN2_20221013_123454	13	1		
221013-40x-TetON-GFPd50-Hsp110-Hsp90-GRP94-GRP78-Calnexin-SUN1-SUN2_20221013_123454	14	1		
221013-40x-TetON-GFPd50-Hsp110-Hsp90-GRP94-GRP78-Calnexin-SUN1-SUN2_20221013_123454	15	1		
221013-40x-TetON-GFPd50-Hsp110-Hsp90-GRP94-GRP78-Calnexin-SUN1-SUN2_20221013_123454	16	1		
221013-40x-TetON-GFPd50-Hsp110-Hsp90-GRP94-GRP78-Calnexin-SUN1-SUN2_20221013_123454	1	2		
221013-40x-TetON-GFPd50-Hsp110-Hsp90-GRP94-GRP78-Calnexin-SUN1-SUN2_20221013_123454	2	2		
221013-40x-TetON-GFPd50-Hsp110-Hsp90-GRP94-GRP78-Calnexin-SUN1-SUN2_20221013_123454	3	2		
221013-40x-TetON-GFPd50-Hsp110-Hsp90-GRP94-GRP78-Calnexin-SUN1-SUN2_20221013_123454	4	2		
221013-40x-TetON-GFPd50-Hsp110-Hsp90-GRP94-GRP78-Calnexin-SUN1-SUN2_20221013_123454	5	2		
221013-40x-TetON-GFPd50-Hsp110-Hsp90-GRP94-GRP78-Calnexin-SUN1-SUN2_20221013_123454	6	2		
221013-40x-TetON-GFPd50-Hsp110-Hsp90-GRP94-GRP78-Calnexin-SUN1-SUN2_20221013_123454	7	2		
221013-40x-TetON-GFPd50-Hsp110-Hsp90-GRP94-GRP78-Calnexin-SUN1-SUN2_20221013_123454	8	2		
221013-40x-TetON-GFPd50-Hsp110-Hsp90-GRP94-GRP78-Calnexin-SUN1-SUN2_20221013_123454	9	2		
221013-40x-TetON-GFPd50-Hsp110-Hsp90-GRP94-GRP78-Calnexin-SUN1-SUN2_20221013_123454	10	2		
221013-40x-TetON-GFPd50-Hsp110-Hsp90-GRP94-GRP78-Calnexin-SUN1-SUN2_20221013_123454	11	2		
221013-40x-TetON-GFPd50-Hsp110-Hsp90-GRP94-GRP78-Calnexin-SUN1-SUN2_20221013_123454	12	2		
221013-40x-TetON-GFPd50-Hsp110-Hsp90-GRP94-GRP78-Calnexin-SUN1-SUN2_20221013_123454	13	2		
221013-40x-TetON-GFPd50-Hsp110-Hsp90-GRP94-GRP78-Calnexin-SUN1-SUN2_20221013_123454	14	2		
221013-40x-TetON-GFPd50-Hsp110-Hsp90-GRP94-GRP78-Calnexin-SUN1-SUN2_20221013_123454	15	2		
221013-40x-TetON-GFPd50-Hsp110-Hsp90-GRP94-GRP78-Calnexin-SUN1-SUN2_20221013_123454	16	2		
221013-40x-TetON-GFPd50-Hsp110-Hsp90-GRP94-GRP78-Calnexin-SUN1-SUN2_20221013_123454	1	3		
221013-40x-TetON-GFPd50-Hsp110-Hsp90-GRP94-GRP78-Calnexin-SUN1-SUN2_20221013_123454	2	3		
221013-40x-TetON-GFPd50-Hsp110-Hsp90-GRP94-GRP78-Calnexin-SUN1-SUN2_20221013_123454	3	3		
221013-40x-TetON-GFPd50-Hsp110-Hsp90-GRP94-GRP78-Calnexin-SUN1-SUN2_20221013_123454	4	3		
221013-40x-TetON-GFPd50-Hsp110-Hsp90-GRP94-GRP78-Calnexin-SUN1-SUN2_20221013_123454	5	3		
221013-40x-TetON-GFPd50-Hsp110-Hsp90-GRP94-GRP78-Calnexin-SUN1-SUN2_20221013_123454	6	3		
221013-40x-TetON-GFPd50-Hsp110-Hsp90-GRP94-GRP78-Calnexin-SUN1-SUN2_20221013_123454	7	3		
221013-40x-TetON-GFPd50-Hsp110-Hsp90-GRP94-GRP78-Calnexin-SUN1-SUN2_20221013_123454	8	3		
221013-40x-TetON-GFPd50-Hsp110-Hsp90-GRP94-GRP78-Calnexin-SUN1-SUN2_20221013_123454	9	3		
221013-40x-TetON-GFPd50-Hsp110-Hsp90-GRP94-GRP78-Calnexin-SUN1-SUN2_20221013_123454	10	3		
221013-40x-TetON-GFPd50-Hsp110-Hsp90-GRP94-GRP78-Calnexin-SUN1-SUN2_20221013_123454	11	3		
221013-40x-TetON-GFPd50-Hsp110-Hsp90-GRP94-GRP78-Calnexin-SUN1-SUN2_20221013_123454	12	3		
221013-40x-TetON-GFPd50-Hsp110-Hsp90-GRP94-GRP78-Calnexin-SUN1-SUN2_20221013_123454	13	3		
221013-40x-TetON-GFPd50-Hsp110-Hsp90-GRP94-GRP78-Calnexin-SUN1-SUN2_20221013_123454	14	3		
221013-40x-TetON-GFPd50-Hsp110-Hsp90-GRP94-GRP78-Calnexin-SUN1-SUN2_20221013_123454	15	3		
221013-40x-TetON-GFPd50-Hsp110-Hsp90-GRP94-GRP78-Calnexin-SUN1-SUN2_20221013_123454	16	3		
221013-40x-TetON-GFPd50-Hsp110-Hsp90-GRP94-GRP78-Calnexin-SUN1-SUN2_20221013_123454	1	4		
221013-40x-TetON-GFPd50-Hsp110-Hsp90-GRP94-GRP78-Calnexin-SUN1-SUN2_20221013_123454	2	4	GRP94	Uninduced
221013-40x-TetON-GFPd50-Hsp110-Hsp90-GRP94-GRP78-Calnexin-SUN1-SUN2_20221013_123454	3	4	GRP94	Uninduced
221013-40x-TetON-GFPd50-Hsp110-Hsp90-GRP94-GRP78-Calnexin-SUN1-SUN2_20221013_123454	4	4	GRP94	Uninduced
221013-40x-TetON-GFPd50-Hsp110-Hsp90-GRP94-GRP78-Calnexin-SUN1-SUN2_20221013_123454	5	4	GRP78	Uninduced
221013-40x-TetON-GFPd50-Hsp110-Hsp90-GRP94-GRP78-Calnexin-SUN1-SUN2_20221013_123454	6	4	GRP78	Uninduced
221013-40x-TetON-GFPd50-Hsp110-Hsp90-GRP94-GRP78-Calnexin-SUN1-SUN2_20221013_123454	7	4	GRP78	Uninduced
221013-40x-TetON-GFPd50-Hsp110-Hsp90-GRP94-GRP78-Calnexin-SUN1-SUN2_20221013_123454	8	4	GRP94	Induced
221013-40x-TetON-GFPd50-Hsp110-Hsp90-GRP94-GRP78-Calnexin-SUN1-SUN2_20221013_123454	9	4	GRP94	Induced
