marker,comparison,diff,lwr.ci,upr.ci,pval
GRP78,2d-Uninduced,0.0962274123518082,0.04453014378922986,0.14792468091438654,0.0017383061986213644
GRP78,4d-Uninduced,0.16245944993597072,0.11076218137339239,0.21415671849854906,3.9394077864240984e-5
GRP78,6d-Uninduced,0.21785858115656875,0.16616131259399042,0.2695558497191471,7.473318078821123e-7
PDI,2d-Uninduced,0.02758352085804705,-0.04637397826975502,0.10154101998584912,0.5972797511659743
PDI,4d-Uninduced,-0.03393792223498149,-0.10789542136278356,0.04001957689282058,0.45259385244154426
PDI,6d-Uninduced,0.11614272016544236,0.04218522103764029,0.19010021929324444,0.004856416262349228
